eye: oca, viso, asta, idea, fine
people: ago, estate, oca, sale, idea
nation: estate, ago, oca, petto, merce
work: estate, sale, ago, idea, oca
guest: estate, oca, sale, petto, asta
gift: estate, sale, oca, ago, idea
game: viso, oca, aria, idea, nero
company: estate, oca, sale, idea, ago
help: idea, oca, ago, supporto, sale
friend: ago, oca, estate, petto, idea
companion: comparire, comunicare, cominciare, comprare, supporto
matter: ago, idea, petto, estate, merce
count: ago, oca, confine, estate, sale
sort: ago, oca, idea, sale, dio
piece: ago, sale, idea, petto, estate
part: parte, partire, ago, estate, idea
half: fine, rosso, mare, sale, estate
circle: estate, gridare, sale, petto, idea
cross: fine, estate, oca, petto, sale
line: fine, idea, ago, oca, sale
stroke: estate, grave, oca, idea, ago
gap: oca, estate, capire, ago, sale
distance: ago, idea, oca, estate, sale
area: arena, oca, idea, asta, ago
space: estate, grave, sale, oca, fine
place: ago, oca, idea, sale, estate
side: fine, grave, estate, idea, oca
middle: estate, sale, fine, petto, oca
item: sale, oca, idea, ago, estate
thing: ago, idea, petto, oca, estate
fringe: fratello, crudo, brina, frusciare, allora
edge: idea, oca, fine, ago, asta
corner: fine, sale, estate, frontiera, idea
tip: oca, ago, sale, petto, estate
end: ago, due, estate, oca, est
hole: fine, grave, sale, estate, petto
angle: sale, fine, pane, aria, viso
pattern: idea, ago, gridare, sale, estate
size: idea, ago, fine, sale, oca
length: ago, idea, oca, sale, petto
height: ago, idea, sale, oca, fine
weight: ago, sale, estate, idea, oca
amount: ago, oca, estate, sale, idea
heap: oca, gridare, estate, idea, nero
row: gridare, ago, sale, oca, petto
boat: estate, sale, carino, carbone, oca
oar: o, oca, orso, bordo, fumo
sleigh: sodo, sacco, sapore, sasso, sedia
ski: asta, oca, chi, arena, estate
campfire: bestia, stormo, robusto, calderone, capello
load: idea, viso, ago, testa, oca
walk: sale, ago, estate, oca, petto
step: ago, oca, sale, idea, petto
north: estate, rosso, asta, petto, sale
south: estate, petto, rosso, asta, sale
west: estate, petto, asta, rosso, oca
east: estate, asta, petto, oca, rosso
wood: fine, estate, sale, formica, petto
board: estate, gridare, oca, sale, idea
slab: slitta, legare, padrone, radice, capire
bracket: brina, brillare, braccio, bruciare, trancia
pole: sale, sole, petto, estate, mare
stick: sale, estate, fine, petto, oca
staff: estate, oca, ago, sale, petto
pipe: fine, sale, petto, estate, asta
house: estate, sale, grave, oca, petto
home: estate, oca, idea, sale, asta
stove: stella, stare, stufa, stretto, stancarsi
floor: fine, sale, estate, idea, grave
table: gridare, idea, sale, viso, estate
chair: estate, sale, petto, asta, legare
cradle: crudo, grasso, slitta, prato, padrone
bed: sale, estate, legare, petto, fine
shelf: sale, estate, idea, fine, oca
box: gridare, sale, oca, petto, estate
window: viso, sci, aria, oro, oca
door: sale, estate, petto, asta, idea
gate: oca, sale, fine, estate, ago
fence: fresco, fame, fumo, fetta, fango
roof: estate, fine, sale, grave, asta
ladder: lotta, largo, lupo, luna, lato
broom: bordo, bello, bendare, baffi, bagnato
spade: spuma, spalla, spesso, spazio, spalmare
shovel: padrone, legare, spazzare, slitta, tossire
fork: ago, oca, sale, petto, estate
spoon: spuma, spalla, spazzare, spazio, spesso
knife: oca, fine, nero, estate, idea
net: netto, oca, viso, estate, nero
hook: viso, gridare, sale, nero, oca
handle: ago, idea, oca, estate, due
lock: sale, via, idea, ago, estate
picture: idea, sale, estate, ago, oca
figure: figura, ago, idea, oca, sale
doll: petto, sale, estate, ago, oca
pouch: penna, piano, pino, pappa, pelle
bundle: idea, aria, gridare, oca, sale
bag: sale, estate, petto, ago, padrone
bucket: sale, estate, idea, fine, oca
cover: sale, oca, ago, idea, via
dishes: dito, danno, dare, dente, donna
sack: sacco, sodo, sapore, sasso, sud
cup: petto, sale, oca, olio, estate
pot: potere, petto, oca, estate, mare
kettle: gatta, gusto, bordo, tazza, gola
meal: estate, sale, oca, ago, idea
food: estate, sale, olio, oca, fine
dish: estate, olio, oca, petto, sale
meat: mezzo, mezzogiorno, ricevere, maniglia, pezzo
corn: cornacchia, petto, estate, olio, oca
mush: manto, mastro, mela, mucchio, mille
bread: estate, olio, sale, petto, oca
slice: oca, ago, idea, nero, pane
fat: fine, mare, sole, petto, estate
butter: bordo, bello, baco, baffi, bollire
oil: fine, estate, olio, sale, petto
salt: saltare, oca, estate, petto, fine
soup: olio, petto, estate, oca, sale
honey: gatta, gusto, bello, bordo, fetta
milk: manto, mastro, mela, mille, miele
tea: oca, asta, idea, olio, estate
leather: lepre, levarsi, leccare, legare, barca
wool: ragno, petto, barca, calura, olio
cloth: sale, fine, estate, petto, idea
needle: fine, estate, sale, grave, petto
thread: idea, estate, sale, ago, oca
button: oca, sale, gridare, idea, ago
knot: tossire, zio, bendare, baffi, danno
paint: sale, idea, estate, fine, petto
clothes: padrone, barca, legare, sale, capire
shirt: sale, estate, petto, oca, olio
collar: collina, barcollare, colletto, colpa, incollare
sleeve: sacco, sbarra, sodo, sorcio, sogno
trousers: trancia, tritare, tratto, truffare, triste
belt: fine, sale, estate, asta, petto
cap: capire, capo, capello, oca, petto
shoe: ragno, barca, padrone, slitta, bastone
boot: nero, oca, sale, estate, petto
ring: petto, fine, sale, estate, asta
ribbon: oca, sale, petto, nero, estate
comb: oca, ago, petto, asta, nero
mirror: idea, sale, petto, fine, estate
strap: sale, petto, oca, ago, padrone
string: idea, ago, gridare, strada, testa
leash: lepre, leccare, levarsi, legare, padrone
blanket: padrone, allora, frontiera, legare, uccello
pillow: padrone, legare, barca, padre, capello
scarf: scarpa, barca, padrone, legare, farfalla
towel: tubo, tallone, tuffarsi, tanto, tetto
force: ago, idea, oca, nero, estate
strength: ago, idea, sale, estate, petto
health: estate, oca, sale, idea, olio
illness: notizia, allora, mento, orso, notare
pain: estate, ago, petto, mare, sale
wound: fresco, bordo, fame, legare, lungo
fever: febbre, fame, calura, calma, infermo
medicine: estate, oca, idea, sale, petto
bridge: estate, oca, fine, sale, asta
well: ago, fine, estate, merce, due
pasture: pasto, estate, legare, padrone, allora
path: viso, ago, gridare, testa, oca
way: ago, notare, sale, estate, petto
road: estate, sale, grave, fine, oca
village: vanga, vetro, villaggio, vita, vigoroso
town: estate, sale, petto, oca, ago
letter: ago, sale, estate, idea, oca
book: sale, estate, idea, oca, ago
character: idea, ago, estate, oca, sale
newspaper: allora, padrone, sbaglio, toccare, supporto
life: ago, estate, idea, oca, grave
death: estate, grave, sale, ago, due
grave: grave, fine, estate, petto, merce
church: estate, oca, sale, grave, petto
sin: sinistro, petto, dio, ago, asta
god: mare, petto, ago, estate, notare
worker: oca, estate, viso, ago, idea
boss: oca, nero, petto, asta, ago
master: estate, sale, asta, oca, idea
doctor: estate, ago, oca, petto, asta
teacher: estate, oca, sale, ago, idea
money: estate, sale, profitto, ago, oca
business: estate, sale, idea, oca, asta
shop: sale, oca, estate, olio, idea
price: sale, fine, idea, estate, oca
ware: mare, ago, petto, sale, merce
profit: profitto, estate, sale, ago, fare
wealth: estate, profitto, sole, ago, sale
world: estate, oca, sale, idea, petto
country: estate, sale, oca, fine, idea
state: estate, oca, idea, ago, merce
king: rosso, petto, sale, mare, estate
power: idea, estate, fine, sale, nero
border: estate, oca, grave, sale, petto
war: estate, petto, ago, grave, sale
enemy: ago, estate, oca, nero, petto
violence: ago, mento, agitare, salute, infermo
fight: ago, estate, sale, petto, oca
bow: petto, sale, mare, estate, rosso
arrow: oca, sale, via, ago, estate
gun: estate, sale, petto, padrone, grave
mistake: padrone, ago, mento, tentare, disturbare
lie: merce, due, ne, rete, ago
damage: ago, idea, estate, oca, due
misfortune: misurare, risata, padrone, agitare, ago
fault: idea, ago, estate, grave, fine
age: ago, oca, due, fine, idea
conclusion: conversare, conversazione, congelarsi, capire, indicare
time: ago, idea, due, oca, fine
day: ago, sale, estate, oca, petto
morning: morire, orso, legare, barca, capello
noon: ago, oca, petto, sale, olio
evening: allora, orso, notte, canzone, andata
night: estate, grave, sale, mare, petto
week: ago, estate, sale, oca, due
month: ago, estate, oca, sale, due
year: ago, estate, sale, oca, due
spring: oca, estate, sale, petto, nero
summer: estate, sale, olio, oca, petto
autumn: autunno, legare, calura, capello, capire
winter: estate, sale, petto, olio, rosso
January: ieri, odore, via, maggio, novembre
February: ieri, maggio, via, novembre, odore
March: novembre, marzo, odore, ieri, merce
April: odore, ieri, maggio, via, marzo
May: odore, merce, via, ieri, mare
June: odore, merce, via, ieri, maggio
July: maggio, novembre, luglio, ieri, marzo
August: odore, ieri, merce, via, novembre
September: ieri, odore, via, novembre, maggio
October: odore, maggio, ieri, novembre, via
November: novembre, ieri, maggio, odore, via
December: ieri, novembre, odore, via, maggio
Monday: ieri, via, odore, olio, merce
Tuesday: ieri, via, odore, merce, olio
Wednesday: ieri, via, odore, merce, olio
Thursday: ieri, via, odore, olio, sale
Friday: ieri, via, odore, olio, fare
Saturday: ieri, via, odore, olio, sale
Sunday: via, ieri, odore, olio, grave
big: estate, fine, sale, petto, oca
little: fine, rosso, estate, petto, asta
long: fine, sale, estate, petto, ago
short: fine, estate, sale, idea, oca
wide: fine, grave, idea, estate, sale
narrow: nudo, naso, nastro, nido, nord
dense: fine, oca, sale, rosso, petto
thick: tallone, bendare, rubare, legare, tuffarsi
thin: fine, petto, oca, idea, asta
delicate: delicato, anello, calura, calma, allora
firm: ago, estate, oca, idea, asta
flat: fine, estate, sale, idea, asta
smooth: fine, petto, rosso, estate, sale
hard: fine, estate, sale, grave, petto
soft: fine, estate, asta, petto, oca
round: fine, sale, estate, rosso, asta
pointed: allora, legare, padrone, fine, sentiero
sharp: fine, asta, oca, nero, petto
blunt: blu, slitta, grasso, padrone, legare
heavy: fine, estate, sale, asta, grave
beautiful: fine, bestia, sale, estate, allora
hot: sale, fine, olio, asta, petto
warm: fine, petto, rosso, sale, estate
cold: fine, estate, rosso, petto, sale
cool: sale, fine, bestia, idea, estate
fresh: fine, sale, estate, olio, bestia
damp: dare, danno, dito, donna, dente
wet: bordo, bendare, gatta, gola, bello
dry: fine, sale, estate, petto, olio
full: fine, sale, estate, oca, idea
empty: sale, estate, oca, idea, fine
open: idea, via, oca, ago, fine
closed: sale, fine, estate, due, oca
clean: fine, idea, sale, oca, ago
dirty: estate, rosso, fine, sale, petto
raw: fine, oca, petto, sale, rosso
ripe: oca, fine, asta, olio, estate
delicious: delicato, visitare, dietro, anello, allora
sweet: rosso, estate, fine, petto, olio
bitter: bello, bordo, bendare, bollire, baffi
sour: sapore, sodo, sasso, sacco, sud
bright: fine, sale, estate, rosso, petto
dark: fine, rosso, grave, petto, estate
black: fine, estate, rosso, sale, petto
white: fine, rosso, petto, grave, asta
red: rosso, petto, sale, asta, fine
yellow: rosso, fine, petto, sale, estate
blue: fine, petto, rosso, asta, oca
green: estate, fine, oca, petto, asta
grey: fine, rosso, sale, petto, estate
colourful: fine, topo, gridare, bestia, allora
cheap: sale, bestia, fine, rosso, estate
dear: parere, visitare, allora, aspro, orso
precious: oscuro, ancora, uncino, calura, allora
blind: sole, estate, fine, petto, oca
deaf: allora, visitare, secco, madre, maestro
powerful: bestia, fine, supporto, sale, allora
strong: fine, ago, sale, idea, oca
weak: fine, sole, ago, due, idea
slim: slitta, padrone, legare, tallone, radice
pretty: fine, sale, idea, estate, petto
evil: petto, estate, ago, oca, nero
stupid: stella, stare, stizzire, stretto, stivale
lazy: idea, oca, nero, estate, fine
diligent: diligente, dare, dondolare, danzare, dodici
stingy: stizzire, stizzirsi, stretto, stella, stare
clever: radice, capire, padrone, rombare, tentare
skilful: padrone, legare, rimanere, bendare, aspro
merry: manto, mastro, mela, mattina, mille
gentle: orso, legare, padrone, tentare, guardare
hungry: padrone, padre, madre, robusto, legare
sick: sodo, sacco, sapore, sud, sasso
naked: naso, nudo, nido, nube, nord
sad: ago, oca, petto, sale, grave
living: estate, fine, sale, olio, petto
good: fine, estate, sale, bestia, idea
bad: estate, sole, fine, oca, sale
correct: ago, idea, oca, fine, due
nasty: naso, nudo, nido, nube, nastro
true: fine, ago, due, estate, grave
old: sale, estate, oca, petto, fine
new: sale, idea, via, oca, estate
former: via, merce, oca, estate, odore
aged: estate, fine, ago, petto, oca
young: estate, rosso, sole, mare, petto
poor: pozzo, ago, allora, petto, oca
rich: petto, mare, oca, rosso, estate
familiar: fame, fresco, fumo, fossa, fango
famous: fame, fresco, fumo, farsi, fango
foreign: estate, oca, sole, sale, ago
different: fine, idea, ago, oca, andata
near: via, visitare, odore, ago, sale
far: farfalla, ago, fare, petto, mare
left: ago, oca, estate, sale, fine
right: ago, estate, idea, sale, oca
other: ago, estate, idea, oca, via
first: ago, secondo, oca, idea, fine
second: secondo, estate, ago, oca, due
third: secondo, estate, oca, sole, ago
last: ago, oca, estate, due, sale
alone: ago, petto, due, oca, idea
at once: andata, andare, orso, orlo, via
together: andata, orso, ago, orlo, andare
suddenly: sapore, sodo, sacco, sud, sasso
instantly: orso, notte, notizia, canzone, bestia
later: ago, merce, andata, mento, orso
now: ago, notare, come, due, notizia
today: ago, sale, oca, estate, due
tomorrow: robusto, gregge, mattina, domani, vicino
soon: ago, andata, come, notare, orso
then: andata, ago, andare, orlo, orso
yesterday: ago, allora, andata, orso, aspro
once: ago, due, come, notte, merce
at that time: andata, andare, orso, andare via, andàrsene
afterwards: andata, andare, orso, ago, orlo
before: ago, due, idea, oca, sale
at first: andata, andare, orso, via, aspro
sometimes: ago, andata, via, andare, idea
often: andare, andata, ago, notare, merce
always: ago, notare, notte, notizia, noto
never: notare, notte, notizia, noto, come
here: ago, due, come, merce, sale
hither: bendare, dare, fame, bordo, baffi
hence: andata, orlo, orso, ago, dare
there: merce, due, fine, ago, come
thither: andata, ingannare, orso, ago, sventolare
ahead: ago, idea, oca, sale, petto
forward: ago, estate, oca, sale, idea
backward: via, oca, o, ieri, ago
below: ago, sale, due, estate, merce
down: sale, ago, estate, petto, fine
above: ago, idea, fine, estate, oca
up: sale, ago, estate, oca, mare
everywhere: allora, andata, orso, ago, notizia
not: notare, notte, notizia, noto, ago
a little: a causa di, a appena, aumentare, a accanto a, a lungo
hardly: notte, notare, notizia, noto, fine
very: ago, notare, notte, due, sole
so: ago, petto, via, soffiare, come
still: notte, notare, notizia, ago, due
only: ago, andata, notare, notte, notizia
already: ago, notizia, notare, notte, noto
again: ago, andata, notare, due, come
in vain: in alto, in sù, in giù, incontrare, andare
in front of: in alto, in sù, in giù, andata, incontrare
behind: andata, orso, urtare, notare, aspro
under: via, estate, fine, sale, merce
through: via, andata, due, ago, andare
next to: andata, via, allora, forza, orso
between: via, andata, ago, due, merce
because of: andata, andare, via, forza, orso
this: ago, idea, oca, sale, nero
that: andata, andare, ago, via, orso
everything: ago, idea, estate, sale, allora
I: odore, ieri, ne, come, re
you: ago, come, notare, notte, notizia
thou: notare, tremare, bendare, rubare, notte
he: merce, via, andata, ne, ago
we: ago, come, ne, oca, asta
they: notare, ago, come, andata, andare
what: ago, idea, due, oca, andata
who: ago, oca, asta, idea, petto
where: ago, andata, due, via, idea
where ... to: andata, andare, orso, orlo, andàrsene
how: ago, via, andata, idea, due
why: via, ago, andata, idea, forza
how much: andata, canzone, andare, forza, orso
one: ago, oca, idea, fine, estate
two: ago, fine, oca, idea, asta
three: oca, fine, ago, tenere, idea
four: tenere, fine, sale, ago, petto
five: tenere, fine, oca, ago, idea
six: tenere, sale, ago, petto, estate
seven: tenere, ago, sale, oca, estate
eight: tenere, sale, ago, fine, estate
nine: tenere, fine, oca, petto, ago
ten: tenere, ago, oca, sale, petto
eleven: tenere, orso, radice, petto, olio
twelve: tenere, allora, orso, fame, aspro
twenty: tenere, sale, estate, olio, fine
thirty: tenere, novanta, fame, brina, sessanta
forty: forte, fortezza, tenere, robusto, legare
fifty: fresco, fame, fetta, fumo, fango
sixty: tenere, allora, aspro, orso, pasto
seventy: secco, semente, sepolcro, segnale, separarsi
eighty: tenere, allora, orso, aspro, pasto
ninety: tenere, novanta, settanta, tono, orso
a hundred: a appena, a causa di, aumentare, a accanto a, tenere
a thousand: a appena, a causa di, aumentare, allora, a accanto a
and: andata, andare, via, orso, orlo
or: orso, orlo, oriente, andata, andare
stand: ago, estate, sale, petto, merce
sit: ago, mare, est, come, petto
hang: sale, ago, petto, estate, come
become: notte, notizia, aspro, notare, orso
happen: fame, dare, ago, dito, bello
begin: ago, idea, viso, oca, nero
change: idea, ago, oca, due, estate
rise: ago, oca, idea, petto, estate
set: sette, settimana, settembre, viso, idea
shine: olio, petto, sale, oca, asta
blow: blu, slitta, legare, padrone, brillare
stream: ago, sale, oca, idea, estate
flow: fine, sale, estate, ago, dio
revolve: capire, padrone, legare, stormo, figlia
sway: snello, padrone, capire, zio, oscuro
swing: estate, sale, petto, fine, rosso
fall: estate, sale, oca, fine, petto
burn: ago, petto, sale, estate, oca
freeze: ago, oca, fine, idea, nero
thaw: tossire, bendare, rubare, rombare, padrone
melt: manto, mela, mastro, mese, morte
boil: petto, buco, ragno, ago, calura
rot: ago, petto, oca, mare, urtare
decay: ago, estate, sale, fine, petto
snap: oca, nero, estate, petto, sale
sink: sale, estate, fine, petto, olio
pass: passo, passare, ago, oca, idea
appear: ago, due, come, idea, notizia
disappear: disegno, disturbare, capire, risata, restare
decrease: due, dieci, supporto, rete, infermo
increase: ago, idea, due, sale, fine
grow: sale, estate, ago, petto, olio
sparkle: gridare, stormo, padrone, oscuro, figlia
be noisy: ago, orso, andare, notte, notizia
chime: chiodo, chiamare, chiamata, chiaro, chiesa
tinkle: tuffarsi, tossire, tazza, tanto, tremare
roar: rotondo, pigro, petto, aspro, robusto
rustle: padrone, stormo, augurare, oscuro, ragno
howl: allora, canzone, orso, andata, aspro
whistle: snello, padrone, tossire, stizzire, legare
shout: tossire, snello, sfuggire, baffi, salute
groan: pigro, croce, petto, ragno, olio
tremble: tremare, tossire, tintinnare, tuffarsi, tazza
be alive: ago, notte, orso, andare, oriente
be born: notte, andare, notare, notizia, orso
breathe: bendare, baffi, bello, bordo, bagnato
drink: estate, sale, olio, oca, petto
eat: olio, estate, oca, sale, mare
swallow: padrone, legare, stormo, capire, calura
get tired: notizia, ago, allora, sale, idea
fall asleep: bestia, allora, estate, sale, pasto
wake up: allora, stormo, orso, ago, padrone
get up: allora, ago, sale, restare, aspro
relax: restare, oscillare, disturbare, radice, confine
