eye: حية, صور, تيار, عود, حث
apple: حية, صور, تيار, عود, عمل
mushroom: حية, صور, تيار, عود, أم
onion: حية, تيار, صور, عود, نوع
seed: حية, نوع, عود, حث, تيار
grain: حية, نوع, تيار, صور, عمل
hay: حية, صور, حي, عود, ذلك
husk: حية, صور, عود, تيار, ترك
pit: حية, صور, درس, تيار, عمل
trap: حية, صور, عود, تيار, ذلك
noose: حية, صور, تيار, نوع, لا
track: حية, صور, نوع, تيار, عود
ashes: حية, صور, عود, تيار, درس
filth: حية, صور, تيار, عود, نوع
iron: حية, عمل, صور, عود, حث
gold: حية, عود, عمل, صور, نوع
silver: حية, صور, عود, نوع, تيار
coal: عمل, حية, عود, نوع, حث
glass: حية, صور, نوع, عود, تيار
clay: حية, صور, عود, ذلك, تيار
sand: حية, صور, نوع, لاح, عمل
human: حية, صور, تيار, نوع, حث
man: حية, من, صور, أن, عود
woman: حية, صور, أن, عود, تيار
child: حية, صور, تيار, ولد, ذلك
boy: صور, حية, تيار, ولد, عود
girl: صور, حية, تيار, ولد, عود
family: حية, صور, عود, تيار, نوع
grandfather: حية, صور, عود, نوع, تيار
grandmother: حية, صور, عود, نوع, تيار
parents: حية, صور, عود, درس, ذلك
father: حية, صور, ولد, عود, ذلك
mother: حية, صور, عود, ذلك, تيار
son: حية, صور, عود, نوع, ذلك
daughter: حية, صور, عود, ذلك, تيار
brother: حية, صور, تيار, ذلك, عود
sister: حية, درس, صور, نوع, ذلك
uncle: حية, صور, عود, نام, قال
aunt: حية, صور, عود, ذلك, تيار
husband: حية, صور, عود, درس, نام
wife: حية, صور, عود, درس, شهر
joy: حية, صور, عود, نوع, تيار
laughter: حية, صور, ذلك, عود, تيار
happiness: حية, صور, تيار, ذلك, عود
grief: حية, صور, ذلك, تيار, غير
wish: حية, صور, عود, حث, ذلك
desire: حية, صور, درس, نوع, عدد
spirit: حية, صور, تيار, عود, نوع
thought: حية, صور, تيار, حث, نوع
memory: حية, صور, ذلك, عود, تيار
mind: حية, ذلك, عود, صور, حث
meaning: حية, صور, عود, نوع, درس
reason: حية, صور, عود, تيار, ذلك
truth: حية, تيار, صور, ذلك, عود
talk: حية, صور, تيار, درس, عود
fairy tale: حية, صور, عود, تيار, درس
story: حية, صور, تيار, ذلك, عود
message: عود, نوع, درس, ذلك, تيار
news: حية, صور, تيار, حث, عود
name: اسم, نام, حية, عود, نوع
puzzle: حية, صور, ذلك, تيار, عود
speech: حية, عود, ذلك, درس, حث
language: حية, تيار, عود, درس, صور
voice: حية, تيار, صور, عود, حث
word: حية, صور, عود, درس, نوع
sign: حث, حية, بين, نوع, عود
call: عمل, عود, حث, بلغ, صور
noise: حية, صور, نوع, عود, درس
sound: حية, صور, نوع, عود, تيار
tone: حية, نوع, صور, درس, تيار
song: حية, صور, عود, تيار, درس
calm: حية, صور, عمل, نوع, تيار
people: حية, صور, عود, تيار, جمع
nation: حية, تيار, صور, عود, شهر
work: عمل, حية, نوع, صور, عود
guest: حية, صور, عود, تيار, ولد
gift: حية, صور, عود, نوع, عمل
game: صور, حية, تيار, درس, عود
company: حية, عود, تيار, صور, نوع
help: حث, حية, تيار, درس, صور
friend: حية, صور, عود, ذلك, نوع
companion: حية, صور, تيار, نوع, ذلك
matter: حية, تيار, درس, صور, ذلك
count: حية, عدد, جمع, صور, ذلك
sort: نوع, حية, صور, جمع, درس
piece: حية, صور, نوع, درس, تيار
part: درس, نوع, عمل, حية, عود
half: حية, صور, عود, ولد, ذلك
circle: حية, تيار, صور, عدد, نوع
cross: حية, تيار, نوع, صور, اسم
line: نوع, حية, خط, تيار, صور
stroke: حية, صور, تيار, درس, نوع
gap: حية, نوع, تيار, صور, عود
distance: حية, صور, نوع, تيار, عود
area: حية, تيار, نوع, صور, عود
space: حية, صور, تيار, عود, درس
place: نوع, حية, صور, عود, تيار
side: حية, نوع, صور, تيار, ذلك
middle: وسط, حية, صور, تيار, بين
item: حية, تيار, نوع, صور, عود
thing: حية, ذلك, درس, صور, تيار
fringe: حية, فر, صور, تيار, عود
edge: حية, عود, تيار, نوع, صور
corner: حية, صور, عود, ذلك, تيار
tip: نوع, حية, صور, تيار, حث
end: نوع, حية, حث, عود, تيار
hole: حية, نوع, نام, تيار, جمع
angle: نوع, تيار, حية, صور, درس
pattern: نوع, حية, صور, درس, عود
size: نوع, حية, صور, عود, ذلك
length: حية, نوع, ذلك, عود, تيار
height: حية, صور, نوع, ذلك, عود
weight: حية, ذلك, عود, صور, نوع
amount: نوع, حية, ذلك, جمع, عدد
heap: حية, تيار, نوع, درس, جمع
row: حية, درس, عود, صور, تيار
boat: حية, صور, تيار, عود, نوع
oar: حية, تيار, صور, عود, نوع
sleigh: حية, صور, درس, عود, ذلك
ski: حية, حي, صور, تيار, عود
campfire: حية, صور, تيار, عود, نوع
load: نوع, حث, ترك, عود, بلغ
walk: حية, تيار, صور, عود, نوع
step: درس, نوع, حية, صور, عمل
north: حية, صور, تيار, عود, شهر
south: حية, صور, تيار, عود, لاح
west: حية, صور, تيار, عود, حث
east: حية, صور, تيار, عود, حث
wood: حية, عود, صور, نوع, هم
board: حية, عود, تيار, نوع, صور
slab: حية, صور, تيار, نوع, عمل
bracket: حية, بر, صور, تيار, ذلك
pole: حية, نوع, عود, صور, ذلك
stick: حية, حث, صور, نوع, ذلك
staff: حية, صور, عود, ذلك, حدث
pipe: حية, صور, تيار, نوع, عود
house: حية, صور, تيار, عود, نوع
home: حية, تيار, صور, عود, حث
stove: حية, صور, عود, تيار, ذلك
floor: حية, صور, طار, تيار, عود
table: حية, نوع, صور, عود, جمع
chair: حية, صور, عود, تيار, ذلك
cradle: حية, صور, تيار, عود, نوع
bed: حية, صور, عود, هم, درس
shelf: حية, صور, عود, ذلك, تيار
box: حية, صور, نوع, تيار, ذلك
window: عود, صور, حية, ذلك, بعد
door: حية, صور, عود, تيار, نوع
gate: حية, تيار, نوع, عود, صور
fence: حية, صور, تيار, عمل, عود
roof: حية, صور, ذلك, تيار, حث
ladder: حية, صور, تيار, عود, عمل
broom: حية, صور, تيار, عود, ذلك
spade: حية, صور, عود, تيار, نوع
shovel: حية, صور, تيار, ذلك, شاء
fork: حية, صور, تيار, عود, نوع
spoon: حية, صور, تيار, عود, نوع
knife: حية, صور, تيار, عود, نوع
net: حية, تيار, حث, جمع, نوع
hook: حية, ذلك, صور, نوع, عود
handle: نوع, عمل, تيار, عود, صور
lock: حية, صور, تيار, عود, علق
picture: صور, حية, تيار, نوع, ذلك
figure: حية, صور, درس, نوع, عود
doll: صور, حية, عود, ذلك, تيار
pouch: حية, تيار, صور, ذلك, نوع
bundle: نوع, جمع, تيار, عمل, حية
bag: حية, صور, نوع, تيار, عود
bucket: حية, صور, نوع, عمل, تيار
cover: صور, حية, تيار, نوع, عود
dishes: حية, صور, ولد, عود, وجد
sack: حية, درس, صور, ذلك, نوع
cup: حية, صور, نوع, عود, تيار
pot: حية, نوع, صور, عود, حث
kettle: حية, صور, تيار, عود, ترك
meal: حية, درس, جمع, سال, عمل
food: حية, عود, تيار, صور, حث
dish: حية, صور, تيار, عود, درس
meat: حية, صور, عود, تيار, هم
corn: حية, عود, حث, صور, نوع
mush: حية, صور, تيار, أم, عود
bread: حية, عود, صور, تيار, حث
slice: حية, نوع, درس, عود, تيار
fat: حية, صور, زار, ذلك, حث
butter: حية, عود, صور, تيار, ذلك
oil: حية, حث, تيار, نوع, صور
salt: حية, نوع, عمل, تيار, عود
soup: حية, صور, عود, تيار, حث
honey: حية, صور, تيار, ذلك, عود
milk: حية, أم, تيار, عود, صور
tea: حية, تيار, عود, صور, درس
leather: حية, صور, عود, نوع, تيار
wool: حية, صور, عود, تيار, نوع
cloth: حية, صور, نوع, عود, ذلك
needle: حية, عود, نوع, تيار, صور
thread: تيار, حية, نوع, صور, درس
button: حية, صور, تيار, عود, ذلك
knot: حية, صور, تيار, ذلك, نوع
paint: حية, صور, تيار, عود, حث
clothes: حية, صور, تيار, عود, نوع
shirt: حية, صور, عود, تيار, ذلك
collar: حية, صور, تيار, نوع, عود
sleeve: حية, صور, درس, تيار, ذلك
trousers: حية, صور, تيار, نوع, عود
belt: حية, نوع, عمل, حث, عود
cap: حية, نوع, صور, عمل, تيار
shoe: حية, صور, تيار, ذلك, عود
boot: حية, تيار, صور, ذلك, عود
ring: حية, نوع, تيار, جمع, صور
ribbon: حية, صور, نوع, تيار, عود
comb: نوع, صب, حية, عود, عمل
mirror: حية, صور, تيار, نوع, عود
strap: حية, صور, نوع, تيار, علق
string: ذلك, حية, نوع, عود, اسم
leash: حية, صور, تيار, نوع, عود
blanket: حية, صور, نوع, عود, تيار
pillow: حية, صور, تيار, نوع, عود
scarf: حية, صور, عود, تيار, صف
towel: حية, صور, وقت, تيار, نوع
force: تيار, حية, صور, حث, نوع
strength: حية, ذلك, عود, صور, درس
health: حية, تيار, حث, ذلك, حدث
illness: حية, صور, ذلك, عود, درس
pain: حية, صور, ذلك, تيار, لاح
wound: حية, و, ذلك, عود, تيار
fever: حية, تيار, صور, عود, نوع
medicine: حية, صور, تيار, عود, درس
bridge: حية, تيار, صور, عود, نوع
well: حية, بلغ, ذلك, أن, عود
pasture: حية, صور, عود, عدد, تيار
path: نوع, تيار, حية, درس, صور
way: حية, صور, نوع, ذلك, ما
road: حية, صور, تيار, نوع, عود
village: حية, تيار, صور, عود, حث
town: حية, صور, شهر, تيار, عود
letter: صور, حية, عود, درس, نوع
book: حية, صور, تيار, درس, عود
character: حية, صور, نوع, عود, درس
newspaper: حية, صور, تيار, عود, نوع
life: حية, تيار, صور, عود, عمل
death: حية, صور, ذلك, عود, تيار
grave: حية, صور, تيار, عود, ولد
church: حية, صور, عود, تيار, حث
sin: حية, سن, بين, نوع, تيار
god: حية, صور, عود, ذلك, شاء
worker: حية, تيار, عمل, درس, صور
boss: حية, صور, عود, درس, نوع
master: حية, صور, نوع, تيار, عود
doctor: حية, صور, عود, عمل, ولد
teacher: حية, صور, عود, تيار, عمل
money: حية, صور, تيار, ذلك, أن
business: حية, صور, تيار, عود, حث
shop: صور, حية, تيار, عود, نوع
price: حية, صور, نوع, عود, عمل
ware: حية, صور, تيار, عود, نوع
profit: حية, ذلك, عمل, عود, جمع
wealth: حية, تيار, صور, ذلك, عود
world: حية, صور, تيار, عود, شهر
country: حية, صور, تيار, عود, نوع
state: حية, نوع, عود, ترك, تيار
king: حية, صور, عود, تيار, ولد
power: حية, قدر, عمل, نوع, تيار
border: حية, تيار, صور, نوع, عود
war: حية, صور, تيار, عود, زار
enemy: حية, صور, ذلك, تيار, نوع
violence: حية, صور, تيار, عود, ذلك
fight: حية, صور, تيار, حث, ذلك
bow: حية, صور, عود, ذلك, تيار
arrow: تيار, حية, صور, نوع, عود
gun: حية, صور, نوع, عود, تيار
mistake: حية, صور, ذلك, درس, تيار
lie: حية, درس, عمل, جمع, حث
damage: حية, صور, ذلك, تيار, نوع
misfortune: حية, صور, درس, تيار, نوع
fault: حية, تيار, ذلك, نوع, درس
age: حية, صور, نوع, عود, تيار
conclusion: حية, نوع, درس, صور, عمل
time: وقت, حية, نوع, تيار, صور
day: حية, سال, درس, صور, ذلك
morning: حية, صور, تيار, نام, عود
noon: حية, تيار, عود, صور, ذلك
evening: حية, صور, عود, تيار, أن
night: حية, صور, ذلك, تيار, عود
week: حية, درس, ذلك, عام, عود
month: حية, سال, ذلك, عام, درس
year: سال, حية, عام, صور, ذلك
spring: حية, صور, عود, تيار, نوع
summer: حية, صور, عود, تيار, عمل
autumn: حية, صور, عود, نوع, تيار
winter: حية, صور, عود, تيار, ذلك
January: حية, سال, ظهر, عام, عود
February: حية, سال, ظهر, عام, عود
March: حية, سال, حث, مر, لاح
April: حية, سال, ظهر, عم, عام
May: حية, حث, وقع, عود, لاح
June: حية, سال, ظهر, مر, عم
July: سال, حية, ظهر, حث, عام
August: حية, سال, قر, فر, ظهر
September: حية, سال, ظهر, نام, فر
October: حية, سال, ظهر, فر, عود
November: حية, سال, ظهر, عم, حث
December: حية, سال, ظهر, فر, عود
Monday: حية, ظهر, حث, عود, تيار
Tuesday: حية, ظهر, حث, عود, تيار
Wednesday: حية, ظهر, عود, حث, علق
Thursday: حية, ظهر, عود, حث, تيار
Friday: حية, ظهر, عود, حث, علق
Saturday: حية, ظهر, عود, حث, علق
Sunday: حية, ظهر, عود, حث, علق
big: حية, صور, بلغ, أن, عود
little: حية, صور, تل, فر, عود
long: حية, صور, عود, نوع, تيار
short: حية, صور, درس, تيار, عود
wide: حية, صور, نوع, تيار, فر
narrow: حية, صور, تيار, أن, حث
dense: حية, فر, نوع, عمل, تيار
thick: حية, صور, نوع, تيار, حث
thin: حية, بين, صور, نوع, عود
delicate: حية, صور, عود, نوع, تيار
firm: حية, عود, نوع, عمل, اسم
flat: حية, نوع, صور, تيار, درس
smooth: حية, صور, نوع, تيار, عود
hard: حية, نوع, عمل, حث, جمع
soft: حية, نوع, صور, تيار, عود
round: حية, صور, عود, نوع, تيار
pointed: حية, عدد, نوع, ذلك, أن
sharp: حية, صور, تيار, عود, نوع
blunt: حية, صور, تيار, عود, عمل
heavy: حية, نوع, عمل, صور, حث
beautiful: صور, حية, عود, شهر, أن
hot: حية, صور, تيار, حث, نوع
warm: حية, صور, عود, نوع, حث
cold: حية, نوع, صور, ذلك, ولد
cool: صور, حية, عود, نوع, ذلك
fresh: حية, صور, عود, حث, تيار
damp: حية, ولد, وجد, صور, برد
wet: حية, نوع, صور, عمل, و
dry: حية, نوع, صور, عود, حث
full: حية, صور, نوع, تيار, حث
empty: حية, صور, تيار, نوع, ذلك
open: فر, بين, عم, حث, علق
closed: حية, نوع, عدد, ترك, أن
clean: صور, حية, تيار, عود, نوع
dirty: صور, حية, تيار, أن, عمل
raw: حية, صور, عود, تيار, حث
ripe: حية, تيار, عود, صور, نوع
delicious: حية, صور, عود, تيار, نوع
sweet: حية, صور, عود, شهر, فر
bitter: حية, صور, تيار, ذلك, عود
sour: حية, درس, صور, عود, تيار
bright: حية, صور, تيار, عود, حث
dark: حية, صور, تيار, عود, ذلك
black: حية, صور, تيار, حث, عود
white: حية, صور, عود, صف, نوع
red: حية, صور, عود, تيار, ولد
yellow: حية, صور, نوع, تيار, عود
blue: حية, صور, تيار, عود, حث
green: حية, صور, تيار, عود, نوع
grey: حية, صور, عود, تيار, ذلك
colourful: صور, حية, عود, نوع, تيار
cheap: حية, صور, عود, نوع, أن
dear: حية, صور, قام, بدأ, وجد
precious: حية, صور, عود, نام, ذلك
blind: حية, صور, عود, فر, عمل
deaf: حية, صور, تيار, حث, نام
powerful: حية, صور, تيار, عمل, نوع
strong: حية, حث, صور, تيار, نوع
weak: حية, حث, نوع, جمع, عمل
slim: حية, صور, تيار, عود, نوع
pretty: صور, حية, فر, أن, ذلك
evil: حية, صور, عود, تيار, ولد
stupid: حية, صور, عود, تيار, اسم
lazy: صور, حية, لاح, عود, درس
diligent: حية, صور, عود, وجد, ذلك
stingy: حية, صور, تيار, عود, ذلك
clever: حية, صور, نوع, عود, تيار
skilful: حية, صور, تيار, عود, حث
merry: حية, صور, أم, تيار, عود
gentle: حية, صور, عود, نوع, نام
hungry: حية, صور, تيار, عود, هن
sick: حية, صور, درس, ذلك, تيار
naked: حية, صور, تيار, أن, هن
sad: صور, حية, عود, حاد, تيار
living: حية, صور, تيار, نوع, حي
good: حية, صور, ذلك, نوع, عود
bad: حية, صور, عمل, ذلك, حث
correct: نوع, حية, ذلك, عود, حث
nasty: حية, صور, تيار, أن, عدد
true: حية, صور, تيار, عود, فر
old: حية, صور, عود, تيار, أن
new: صور, حية, حث, عود, تيار
former: حية, صور, وقع, عود, وجد
aged: حية, صور, بلغ, أن, هن
young: صور, حية, تيار, حث, عود
poor: حية, صور, عود, تيار, حث
rich: حية, صور, عود, تيار, لاح
familiar: حية, صور, نام, عمل, عود
famous: حية, صور, عمل, تيار, نام
foreign: حية, صور, عمل, عود, نوع
different: نوع, حية, عمل, حث, صور
near: حية, صور, شهر, تيار, بلغ
far: فر, حية, دار, زار, طار
left: حية, صور, تيار, حق, نوع
right: حق, حية, نوع, ذلك, صور
other: نوع, حية, فر, عمل, حث
first: حية, صور, بدأ, تيار, حث
second: حية, صور, عود, ذلك, عمل
third: حية, عود, صور, ذلك, اسم
last: حية, آخر, صور, عود, بدأ
alone: حية, صور, عود, تيار, ذلك
at once: حية, عود, نام, صور, نوع
together: حية, صور, نوع, تيار, عود
suddenly: حية, درس, صور, ذلك, عود
instantly: حية, صور, عود, عمل, وقت
later: حية, عود, صور, نوع, درس
now: حية, صور, ذلك, تيار, عود
today: حية, صور, عود, ذلك, تيار
tomorrow: حية, صور, تيار, عود, ذلك
soon: حية, صور, عود, تيار, ذلك
then: حية, أن, عود, نام, درس
yesterday: حية, صور, ذلك, عود, تيار
once: حية, عود, صور, تيار, ذلك
at that time: حية, عود, نام, صور, ذلك
afterwards: حية, بعد, صور, عود, درس
before: بعد, حية, بدأ, صور, عود
at first: حية, صور, حث, عود, بدأ
sometimes: حية, صور, عود, تيار, ذلك
often: حية, أن, عود, عمل, نوع
always: حية, صور, أن, عود, ذلك
never: حية, عود, أن, غير, صور
here: حية, ذلك, صور, تيار, عود
hither: حية, تيار, صور, ذلك, عود
hence: حية, ذلك, صور, تيار, نوع
there: حية, دار, لاح, ذلك, عود
thither: حية, صور, تيار, ذلك, عود
ahead: حية, تيار, صور, عود, ذلك
forward: حية, نوع, حدث, عمل, فر
backward: حية, تيار, صور, حث, شهر
below: حية, ذلك, عود, نوع, صور
down: حية, صور, تيار, عود, نوع
above: حية, صور, ذلك, عود, تيار
up: حية, حث, عود, تيار, صور
everywhere: حية, صور, تيار, عود, عمل
not: غير, صور, أن, حية, نوع
a little: حية, صور, عود, فر, صف
hardly: حية, نوع, صور, جمع, هن
very: حية, صور, أن, عود, عدد
so: حية, صور, عود, ذلك, تيار
still: حية, صور, عود, غير, تيار
only: حية, صور, غير, ذلك, عود
already: حية, عود, ذلك, غير, صور
again: حية, صور, عود, ذلك, تيار
in vain: حية, عود, تيار, نام, حث
in front of: حية, عود, صور, نام, ظهر
behind: حية, صور, تيار, عود, ذلك
under: حية, نوع, حث, فر, أن
through: حية, عود, حث, نوع, تيار
next to: حية, صور, عود, نام, تيار
between: بين, حث, بلغ, حية, فر
because of: حية, تل, ترك, صور, أن
this: حية, صور, ذلك, عود, نوع
that: حية, ذلك, أن, درس, ما
everything: حية, صور, ذلك, تيار, عود
I: حية, عود, حث, زار, هم
you: حية, صور, ذلك, عود, شاء
thou: حية, صور, تيار, عود, ذلك
he: حية, عود, نام, حث, تيار
we: حية, عود, نوع, حث, صور
they: حية, ذلك, عود, شاء, صور
what: حية, ما, ذلك, حث, نوع
who: حية, عود, أن, نام, هم
where: حية, عود, حث, نوع, تيار
where ... to: حية, تيار, صور, عود, نوع
how: حية, حث, صور, عود, نوع
why: حية, صور, حث, تيار, عود
how much: حية, عمل, كم, صور, حث
one: حية, صور, عود, أن, تيار
two: حية, صور, أن, عدد, عمل
three: حية, صور, عدد, درس, عمل
four: حية, صور, عدد, أن, ذلك
five: حية, صور, عدد, عمل, عود
six: حية, عدد, صور, ذلك, حث
seven: حية, صور, عدد, عود, تيار
eight: حية, صور, عدد, عود, تيار
nine: حية, صور, عدد, عود, تيار
ten: حية, عدد, صور, عود, تيار
eleven: حية, صور, تيار, عود, عدد
twelve: حية, صور, عدد, تيار, عود
twenty: حية, صور, عدد, تيار, أن
thirty: حية, صور, تيار, حث, نوع
forty: حية, صور, عدد, تيار, فر
fifty: حية, صور, تيار, عدد, حث
sixty: حية, عدد, صور, تيار, نوع
seventy: حية, عدد, نوع, تيار, صور
eighty: حية, عدد, صور, تيار, عود
ninety: حية, صور, عود, تيار, عدد
a hundred: حية, صور, عود, عمل, درس
a thousand: حية, صور, عود, عدد, عمل
and: حية, أن, درس, نوع, عود
or: نوع, فر, درس, أن, حية
stand: حية, عود, نوع, حث, صور
sit: حية, صور, نوع, حث, عود
hang: حية, صور, هن, ذلك, علق
become: حية, صور, عود, غير, تيار
happen: حية, صور, ذلك, تيار, حدث
begin: بين, عود, عمل, بدأ, حية
change: حية, نوع, تيار, عود, صور
rise: حية, تيار, صور, نوع, عود
set: حث, نوع, عود, جمع, شاء
shine: حية, صور, تيار, عود, ذلك
blow: حية, صور, تيار, ذلك, عود
stream: حية, تيار, صور, عود, نوع
flow: حية, تيار, نوع, حث, عمل
revolve: حية, صور, تيار, عود, عدد
sway: حية, صور, تيار, عود, نوع
swing: حية, صور, عود, تيار, حث
fall: حية, صور, عود, حث, تيار
burn: حية, صور, تيار, عود, ترك
freeze: حية, عود, تيار, صور, حث
