eye: 眼睛, 找到, 以为, 得到, 进入
grass: 草, 找到, 以为, 或者, 得到
root: 根, 得到, 以为, 打开, 理解
tree: 树, 找到, 以为, 得到, 或者
trunk: 以为, 得到, 或者, 打开, 增加
bark: 以为, 找到, 得到, 或者, 明白
limb: 以为, 或者, 得到, 找到, 腿
branch: 找到, 以为, 得到, 地点, 增加
leaf: 找到, 以为, 得到, 或者, 衣服
birch: 以为, 找到, 明白, 或者, 感觉
pine: 以为, 找到, 或者, 得到, 明白
willow: 以为, 找到, 或者, 由于, 得到
fir: 以为, 找到, 得到, 或者, 感觉
horn: 以为, 找到, 或者, 得到, 感觉
feather: 以为, 得到, 找到, 明白, 感觉
fur: 以为, 找到, 或者, 得到, 感觉
wing: 以为, 找到, 得到, 或者, 感觉
claw: 以为, 得到, 或者, 找到, 感觉
tail: 得到, 以为, 理解, 增加, 或者
egg: 蛋, 以为, 找到, 或者, 得到
nest: 找到, 以为, 得到, 增加, 给
lair: 以为, 找到, 得到, 或者, 明白
animal: 动物, 找到, 以为, 得到, 增加
flock: 以为, 得到, 找到, 或者, 打开
cow: 找到, 以为, 感觉, 得到, 或者
bull: 以为, 找到, 或者, 得到, 感觉
horse: 找到, 以为, 得到, 或者, 明白
sheep: 以为, 找到, 她, 或者, 明白
pig: 猪, 以为, 找到, 得到, 或者
dog: 找到, 狗, 以为, 猫, 得到
cat: 猫, 以为, 找到, 得到, 或者
bear: 以为, 找到, 熊, 得到, 或者
squirrel: 以为, 找到, 得到, 或者, 明白
elk: 以为, 找到, 得到, 打开, 感觉
fox: 以为, 找到, 得到, 增加, 或者
hare: 以为, 找到, 明白, 得到, 或者
mouse: 找到, 增加, 以为, 打开, 理解
wolf: 狼, 以为, 找到, 得到, 打开
bird: 鸟, 找到, 以为, 得到, 感觉
swarm: 以为, 得到, 找到, 或者, 打开
chicken: 以为, 找到, 得到, 或者, 明白
cock: 以为, 找到, 得到, 或者, 感觉
goose: 以为, 找到, 得到, 或者, 明白
eagle: 找到, 以为, 得到, 进入, 知道
duck: 以为, 找到, 得到, 或者, 明白
owl: 找到, 以为, 得到, 感觉, 或者
crane: 以为, 找到, 得到, 或者, 距离
crow: 以为, 找到, 得到, 或者, 给
cuckoo: 以为, 得到, 或者, 明白, 找到
swan: 以为, 找到, 得到, 感觉, 或者
fish: 找到, 鱼, 以为, 得到, 或者
perch: 以为, 得到, 找到, 由于, 或者
pike: 以为, 得到, 打开, 增加, 明白
snake: 蛇, 以为, 找到, 蜘蛛, 得到
worm: 以为, 找到, 或者, 得到, 感觉
spider: 蜘蛛, 以为, 找到, 得到, 感觉
ant: 以为, 找到, 得到, 或者, 给
louse: 以为, 找到, 或者, 得到, 明白
midge: 以为, 找到, 得到, 或者, 明白
fly: 以为, 找到, 得到, 增加, 理解
butterfly: 以为, 找到, 得到, 或者, 明白
berry: 找到, 以为, 得到, 感觉, 明白
apple: 苹果, 以为, 找到, 得到, 或者
mushroom: 以为, 找到, 或者, 明白, 得到
onion: 以为, 找到, 得到, 由于, 或者
seed: 以为, 找到, 得到, 增加, 或者
grain: 以为, 得到, 或者, 找到, 给
hay: 找到, 以为, 或者, 感觉, 得到
husk: 以为, 找到, 或者, 得到, 感觉
pit: 找到, 以为, 得到, 或者, 感觉
trap: 以为, 得到, 或者, 出现, 找到
noose: 以为, 找到, 或者, 得到, 明白
track: 找到, 以为, 得到, 增加, 或者
ashes: 以为, 找到, 得到, 或者, 明白
filth: 以为, 找到, 得到, 感觉, 或者
iron: 铁, 找到, 以为, 得到, 由于
gold: 找到, 以为, 得到, 或者, 由于
silver: 找到, 以为, 银, 得到, 或者
coal: 煤, 找到, 以为, 或者, 得到
glass: 玻璃, 找到, 以为, 得到, 或者
clay: 以为, 得到, 找到, 或者, 感觉
sand: 以为, 找到, 或者, 得到, 增加
human: 找到, 以为, 人, 由于, 理解
man: 以为, 找到, 或者, 得到, 丈夫
woman: 找到, 以为, 丈夫, 男子, 或者
child: 找到, 以为, 得到, 或者, 增加
boy: 以为, 找到, 男子, 朋友, 丈夫
girl: 以为, 找到, 男子, 丈夫, 朋友
family: 找到, 家庭, 以为, 得到, 朋友
grandfather: 以为, 找到, 得到, 或者, 明白
grandmother: 找到, 以为, 或者, 得到, 朋友
parents: 以为, 找到, 朋友, 父亲, 母亲
father: 父亲, 以为, 母亲, 找到, 丈夫
mother: 母亲, 以为, 父亲, 找到, 丈夫
son: 以为, 找到, 得到, 或者, 给
daughter: 以为, 找到, 丈夫, 朋友, 或者
brother: 以为, 找到, 或者, 得到, 明白
sister: 以为, 得到, 找到, 给, 明白
uncle: 以为, 找到, 得到, 给, 感觉
aunt: 以为, 找到, 得到, 给, 或者
husband: 以为, 找到, 丈夫, 或者, 朋友
wife: 丈夫, 以为, 找到, 朋友, 名字
joy: 以为, 找到, 得到, 明白, 感觉
laughter: 以为, 找到, 明白, 力量, 得到
happiness: 以为, 找到, 得到, 或者, 明白
grief: 以为, 找到, 得到, 或者, 明白
wish: 以为, 找到, 得到, 或者, 感觉
desire: 以为, 找到, 得到, 给, 明白
spirit: 以为, 找到, 得到, 力量, 明白
thought: 以为, 找到, 或者, 思想, 得到
memory: 以为, 找到, 得到, 或者, 增加
mind: 以为, 找到, 感觉, 或者, 得到
meaning: 找到, 以为, 或者, 得到, 明白
reason: 以为, 找到, 得到, 或者, 理由
truth: 以为, 找到, 明白, 得到, 力量
talk: 以为, 找到, 得到, 明白, 理解
fairy tale: 以为, 找到, 名字, 或者, 得到
story: 故事, 找到, 以为, 名字, 得到
message: 消息, 得到, 以为, 增加, 通知
news: 新闻, 找到, 进入, 以为, 地点
name: 名字, 得到, 以为, 找到, 地点
puzzle: 以为, 得到, 找到, 明白, 感觉
speech: 以为, 声音, 找到, 得到, 或者
language: 语言, 地点, 找到, 声音, 以为
voice: 声音, 以为, 找到, 得到, 或者
word: 找到, 得到, 以为, 词, 名字
sign: 以为, 得到, 或者, 找到, 理解
call: 得到, 以为, 理解, 打开, 增加
noise: 声音, 以为, 找到, 得到, 或者
sound: 声音, 找到, 以为, 得到, 增加
tone: 以为, 找到, 得到, 或者, 感觉
song: 找到, 以为, 名字, 得到, 明白
calm: 以为, 找到, 得到, 或者, 感觉
people: 找到, 以为, 得到, 人们, 朋友
nation: 以为, 找到, 得到, 明白, 知道
work: 找到, 工作, 以为, 得到, 地点
guest: 找到, 以为, 得到, 朋友, 地点
gift: 找到, 以为, 得到, 或者, 增加
game: 游戏, 得到, 以为, 找到, 模型
company: 以为, 地点, 找到, 得到, 进入
help: 帮助, 以为, 得到, 给, 理解
friend: 朋友, 以为, 得到, 找到, 或者
companion: 以为, 得到, 找到, 打开, 或者
matter: 以为, 找到, 得到, 或者, 明白
count: 得到, 以为, 找到, 给, 增加
sort: 得到, 找到, 增加, 以为, 或者
piece: 找到, 以为, 得到, 或者, 感觉
part: 找到, 以为, 得到, 部分, 给
half: 以为, 找到, 得到, 明白, 给
circle: 找到, 得到, 以为, 或者, 增加
cross: 找到, 以为, 得到, 增加, 理解
line: 找到, 得到, 以为, 线, 或者
stroke: 找到, 以为, 得到, 一起, 或者
gap: 以为, 找到, 得到, 或者, 距离
distance: 距离, 长度, 得到, 找到, 以为
area: 地点, 找到, 地区, 以为, 得到
space: 找到, 以为, 地点, 得到, 距离
place: 地点, 找到, 以为, 得到, 或者
side: 以为, 找到, 得到, 增加, 或者
middle: 找到, 以为, 得到, 由于, 感觉
item: 找到, 得到, 以为, 增加, 模型
thing: 以为, 找到, 得到, 或者, 感觉
fringe: 以为, 找到, 得到, 或者, 感觉
edge: 以为, 得到, 找到, 理解, 增加
corner: 找到, 以为, 得到, 明白, 或者
tip: 以为, 得到, 找到, 增加, 或者
end: 以为, 得到, 结束, 或者, 找到
hole: 以为, 找到, 得到, 或者, 穴
angle: 长度, 角, 得到, 距离, 找到
pattern: 找到, 得到, 以为, 或者, 增加
size: 长度, 大小, 年龄, 得到, 找到
length: 长度, 得到, 找到, 年龄, 以为
height: 长度, 年龄, 得到, 找到, 以为
weight: 长度, 得到, 以为, 找到, 年龄
amount: 得到, 找到, 以为, 或者, 增加
heap: 堆, 得到, 以为, 找到, 增加
row: 找到, 以为, 得到, 增加, 长度
boat: 找到, 以为, 衣服, 得到, 或者
oar: 以为, 找到, 得到, 或者, 进入
sleigh: 以为, 找到, 得到, 或者, 明白
ski: 找到, 以为, 距离, 地点, 进入
campfire: 找到, 以为, 明白, 得到, 一起
load: 打开, 理解, 增加, 得到, 由于
walk: 以为, 找到, 得到, 走, 距离
step: 以为, 得到, 找到, 或者, 增加
north: 北, 找到, 以为, 距离, 南
south: 南, 找到, 北, 以为, 由于
west: 西, 以为, 找到, 东, 进入
east: 东, 以为, 找到, 距离, 进入
wood: 找到, 以为, 或者, 得到, 感觉
board: 得到, 找到, 以为, 增加, 模型
slab: 以为, 得到, 找到, 或者, 增加
bracket: 以为, 得到, 找到, 或者, 给
pole: 找到, 以为, 得到, 或者, 给
stick: 以为, 找到, 增加, 得到, 理解
staff: 找到, 以为, 得到, 教师, 地点
pipe: 以为, 找到, 或者, 得到, 衣服
house: 找到, 以为, 房屋, 地点, 家
home: 地点, 找到, 进入, 家, 新闻
stove: 以为, 找到, 或者, 得到, 明白
floor: 找到, 以为, 衣服, 得到, 或者
table: 得到, 增加, 找到, 模型, 以为
chair: 找到, 以为, 得到, 或者, 衣服
cradle: 以为, 得到, 或者, 明白, 找到
bed: 床, 找到, 以为, 或者, 得到
shelf: 找到, 以为, 得到, 或者, 增加
box: 以为, 得到, 找到, 增加, 或者
window: 得到, 以为, 找到, 增加, 知道
door: 找到, 以为, 得到, 或者, 由于
gate: 找到, 以为, 得到, 或者, 增加
fence: 以为, 找到, 得到, 或者, 地点
roof: 找到, 以为, 衣服, 房屋, 或者
ladder: 以为, 找到, 得到, 或者, 明白
broom: 以为, 找到, 得到, 或者, 明白
spade: 以为, 找到, 得到, 明白, 或者
shovel: 以为, 得到, 找到, 或者, 明白
fork: 以为, 得到, 或者, 找到, 增加
spoon: 以为, 得到, 找到, 或者, 明白
knife: 刀, 以为, 得到, 找到, 或者
net: 网, 得到, 以为, 理解, 打开
hook: 得到, 增加, 以为, 改变, 找到
handle: 得到, 理解, 增加, 找到, 以为
lock: 以为, 得到, 找到, 由于, 或者
picture: 找到, 以为, 得到, 感觉, 地点
figure: 以为, 得到, 找到, 或者, 模型
doll: 找到, 以为, 衣服, 感觉, 或者
pouch: 以为, 得到, 或者, 找到, 出现
bundle: 得到, 增加, 以为, 找到, 打开
bag: 找到, 以为, 衣服, 得到, 或者
bucket: 找到, 以为, 得到, 或者, 增加
cover: 找到, 以为, 得到, 进入, 由于
dishes: 以为, 得到, 找到, 或者, 感觉
sack: 以为, 得到, 找到, 或者, 明白
cup: 以为, 找到, 得到, 或者, 增加
pot: 以为, 找到, 得到, 或者, 感觉
kettle: 以为, 得到, 或者, 找到, 明白
meal: 找到, 得到, 以为, 或者, 增加
food: 找到, 以为, 得到, 增加, 地点
dish: 找到, 以为, 得到, 或者, 感觉
meat: 以为, 肉, 找到, 或者, 得到
corn: 找到, 以为, 或者, 得到, 感觉
mush: 以为, 得到, 找到, 或者, 感觉
bread: 找到, 以为, 或者, 得到, 明白
slice: 得到, 以为, 找到, 或者, 增加
fat: 找到, 以为, 得到, 或者, 感觉
butter: 以为, 得到, 或者, 找到, 明白
oil: 油, 找到, 以为, 或者, 得到
salt: 以为, 得到, 或者, 找到, 增加
soup: 找到, 以为, 或者, 明白, 得到
honey: 以为, 得到, 或者, 找到, 感觉
milk: 以为, 找到, 得到, 或者, 明白
tea: 茶, 找到, 以为, 明白, 力量
leather: 以为, 找到, 得到, 感觉, 或者
wool: 以为, 找到, 感觉, 或者, 得到
cloth: 找到, 以为, 衣服, 或者, 得到
needle: 针, 找到, 以为, 得到, 或者
thread: 找到, 得到, 以为, 增加, 理解
button: 以为, 找到, 得到, 或者, 关闭
knot: 以为, 得到, 找到, 或者, 感觉
paint: 找到, 以为, 得到, 或者, 增加
clothes: 衣服, 以为, 找到, 或者, 得到
shirt: 衣服, 找到, 以为, 或者, 名字
collar: 以为, 找到, 棍, 或者, 得到
sleeve: 以为, 找到, 得到, 或者, 感觉
trousers: 以为, 或者, 找到, 得到, 衣服
belt: 找到, 以为, 或者, 得到, 距离
cap: 以为, 找到, 得到, 感觉, 或者
shoe: 以为, 找到, 衣服, 得到, 或者
boot: 以为, 得到, 打开, 增加, 或者
ring: 以为, 找到, 得到, 或者, 理解
ribbon: 找到, 以为, 得到, 增加, 或者
comb: 得到, 以为, 找到, 或者, 理解
mirror: 以为, 找到, 得到, 或者, 明白
strap: 找到, 以为, 得到, 或者, 增加
string: 得到, 增加, 理解, 出现, 长度
leash: 以为, 找到, 得到, 或者, 给
blanket: 找到, 以为, 得到, 明白, 或者
pillow: 找到, 以为, 或者, 衣服, 得到
scarf: 以为, 找到, 衣服, 或者, 得到
towel: 以为, 找到, 得到, 衣服, 或者
force: 以为, 得到, 找到, 或者, 理解
strength: 找到, 力量, 以为, 得到, 或者
health: 健康, 找到, 以为, 得到, 地点
illness: 找到, 以为, 或者, 得到, 明白
pain: 找到, 以为, 力量, 或者, 得到
wound: 以为, 找到, 得到, 或者, 感觉
fever: 以为, 得到, 找到, 或者, 感觉
medicine: 找到, 以为, 得到, 地点, 明白
bridge: 找到, 以为, 得到, 桥, 距离
well: 以为, 找到, 或者, 给, 得到
pasture: 找到, 以为, 地点, 得到, 或者
path: 得到, 长度, 以为, 模型, 增加
way: 以为, 找到, 或者, 得到, 明白
road: 找到, 以为, 路, 得到, 感觉
village: 以为, 地点, 找到, 得到, 距离
town: 找到, 以为, 地点, 得到, 距离
letter: 找到, 以为, 得到, 名字, 或者
book: 找到, 以为, 书, 得到, 地点
character: 以为, 找到, 得到, 名字, 或者
newspaper: 以为, 找到, 得到, 给, 或者
life: 生命, 找到, 以为, 力量, 地点
death: 死亡, 以为, 找到, 得到, 或者
grave: 以为, 找到, 或者, 得到, 明白
church: 找到, 以为, 地点, 得到, 进入
sin: 以为, 得到, 罪, 或者, 找到
god: 以为, 找到, 得到, 明白, 或者
worker: 以为, 增加, 得到, 找到, 改变
boss: 以为, 找到, 得到, 或者, 感觉
master: 以为, 找到, 得到, 增加, 打开
doctor: 找到, 以为, 得到, 或者, 明白
teacher: 以为, 找到, 教师, 得到, 朋友
money: 以为, 找到, 得到, 力量, 明白
business: 找到, 以为, 地点, 得到, 进入
shop: 找到, 以为, 进入, 得到, 地点
price: 价格, 找到, 以为, 得到, 地点
ware: 以为, 找到, 得到, 或者, 由于
profit: 以为, 得到, 找到, 或者, 力量
wealth: 以为, 找到, 得到, 力量, 明白
world: 世界, 找到, 以为, 得到, 进入
country: 找到, 以为, 得到, 地点, 增加
state: 找到, 得到, 以为, 部分, 国家
king: 找到, 以为, 得到, 或者, 感觉
power: 以为, 力量, 得到, 找到, 理解
border: 以为, 找到, 得到, 增加, 或者
war: 战争, 以为, 找到, 得到, 或者
enemy: 以为, 找到, 得到, 增加, 或者
violence: 以为, 找到, 力量, 得到, 或者
fight: 以为, 找到, 得到, 感觉, 明白
bow: 以为, 找到, 得到, 或者, 感觉
arrow: 地点, 找到, 进入, 以为, 关闭
gun: 枪, 以为, 找到, 得到, 或者
mistake: 以为, 找到, 或者, 得到, 明白
lie: 以为, 得到, 找到, 或者, 给
damage: 以为, 找到, 得到, 或者, 增加
misfortune: 以为, 找到, 或者, 明白, 得到
fault: 以为, 找到, 得到, 或者, 理解
age: 年龄, 找到, 得到, 以为, 长度
conclusion: 以为, 找到, 得到, 或者, 理解
time: 时间, 以为, 得到, 找到, 或者
day: 以为, 找到, 得到, 感觉, 或者
morning: 以为, 找到, 明白, 或者, 感觉
noon: 以为, 找到, 得到, 地点, 明白
evening: 以为, 找到, 给, 得到, 或者
night: 以为, 夜, 找到, 或者, 感觉
week: 以为, 找到, 得到, 星期, 感觉
month: 以为, 得到, 找到, 月, 年
year: 年, 以为, 得到, 找到, 年龄
spring: 以为, 找到, 得到, 增加, 感觉
summer: 找到, 以为, 感觉, 得到, 或者
autumn: 以为, 找到, 得到, 或者, 感觉
winter: 找到, 以为, 感觉, 或者, 明白
January: 地点, 找到, 以为, 成为, 进入
February: 地点, 找到, 以为, 成为, 进入
March: 地点, 找到, 以为, 进入, 由于
April: 地点, 找到, 成为, 以为, 进入
May: 找到, 以为, 地点, 由于, 五月
June: 地点, 找到, 以为, 成为, 进入
July: 地点, 找到, 以为, 成为, 进入
August: 地点, 找到, 以为, 由于, 进入
September: 地点, 找到, 以为, 进入, 成为
October: 地点, 找到, 以为, 成为, 进入
November: 地点, 找到, 以为, 进入, 成为
December: 地点, 找到, 以为, 成为, 进入
Monday: 地点, 以为, 找到, 今天, 明白
Tuesday: 地点, 以为, 找到, 今天, 离开
Wednesday: 地点, 以为, 找到, 今天, 离开
Thursday: 地点, 以为, 找到, 今天, 明白
Friday: 地点, 找到, 以为, 今天, 名字
Saturday: 地点, 以为, 找到, 今天, 离开
Sunday: 地点, 找到, 以为, 离开, 今天
big: 找到, 以为, 得到, 由于, 给
little: 找到, 以为, 由于, 给, 得到
long: 找到, 长, 以为, 得到, 或者
short: 短, 找到, 以为, 得到, 理解
wide: 找到, 以为, 得到, 或者, 增加
narrow: 找到, 以为, 得到, 理解, 由于
dense: 理解, 找到, 得到, 以为, 由于
thick: 以为, 找到, 得到, 或者, 感觉
thin: 薄, 以为, 找到, 得到, 理解
delicate: 以为, 找到, 得到, 或者, 由于
firm: 找到, 以为, 得到, 或者, 增加
flat: 找到, 得到, 以为, 理解, 增加
smooth: 找到, 以为, 得到, 理解, 或者
hard: 硬, 找到, 以为, 软, 得到
soft: 软, 找到, 以为, 理解, 得到
round: 找到, 以为, 得到, 增加, 或者
pointed: 找到, 以为, 点, 得到, 给
sharp: 找到, 以为, 得到, 或者, 由于
blunt: 以为, 找到, 得到, 明白, 感觉
heavy: 找到, 以为, 得到, 增加, 理解
beautiful: 找到, 以为, 或者, 得到, 由于
hot: 找到, 以为, 得到, 或者, 感觉
warm: 找到, 以为, 得到, 或者, 感觉
cold: 冷, 以为, 找到, 或者, 感觉
cool: 找到, 以为, 感觉, 得到, 由于
fresh: 找到, 以为, 得到, 或者, 由于
damp: 以为, 或者, 找到, 得到, 感觉
wet: 以为, 得到, 湿, 找到, 感觉
dry: 找到, 干, 湿, 增加, 以为
full: 找到, 得到, 以为, 增加, 理解
empty: 得到, 找到, 以为, 理解, 增加
open: 打开, 理解, 由于, 增加, 得到
closed: 找到, 以为, 关闭, 得到, 由于
clean: 得到, 找到, 以为, 增加, 理解
dirty: 找到, 以为, 得到, 感觉, 明白
raw: 得到, 找到, 理解, 增加, 以为
ripe: 以为, 找到, 得到, 或者, 打开
delicious: 以为, 找到, 得到, 或者, 进入
sweet: 找到, 以为, 甜, 感觉, 得到
bitter: 以为, 明白, 得到, 找到, 或者
sour: 以为, 得到, 或者, 找到, 感觉
bright: 找到, 以为, 亮, 得到, 明白
dark: 找到, 以为, 理解, 打开, 感觉
black: 找到, 以为, 黑, 得到, 由于
white: 找到, 白, 以为, 得到, 为什么
red: 红, 找到, 以为, 得到, 感觉
yellow: 找到, 以为, 得到, 感觉, 明白
blue: 找到, 以为, 由于, 蓝, 得到
green: 找到, 以为, 得到, 理解, 由于
grey: 找到, 以为, 得到, 感觉, 或者
colourful: 找到, 以为, 力量, 得到, 明白
cheap: 找到, 以为, 由于, 为什么, 得到
dear: 以为, 由于, 给, 找到, 为什么
precious: 以为, 找到, 得到, 给, 感觉
blind: 找到, 以为, 得到, 给, 增加
deaf: 以为, 找到, 得到, 进入, 给
powerful: 以为, 找到, 得到, 理解, 打开
strong: 找到, 得到, 以为, 理解, 给
weak: 弱, 理解, 得到, 找到, 以为
slim: 以为, 得到, 找到, 打开, 或者
pretty: 找到, 以为, 得到, 明白, 增加
evil: 以为, 找到, 得到, 明白, 或者
stupid: 以为, 找到, 给, 得到, 由于
lazy: 理解, 得到, 找到, 增加, 以为
diligent: 以为, 得到, 找到, 或者, 给
stingy: 以为, 找到, 得到, 或者, 明白
clever: 以为, 找到, 给, 得到, 明白
skilful: 以为, 找到, 或者, 得到, 明白
merry: 以为, 找到, 得到, 明白, 感觉
gentle: 以为, 找到, 或者, 得到, 给
hungry: 以为, 找到, 明白, 得到, 感觉
sick: 以为, 找到, 得到, 或者, 感觉
naked: 找到, 以为, 由于, 得到, 进入
sad: 以为, 找到, 感觉, 或者, 得到
living: 找到, 以为, 得到, 明白, 理解
good: 找到, 以为, 得到, 给, 增加
bad: 坏, 找到, 以为, 得到, 给
correct: 找到, 得到, 理解, 以为, 正确
nasty: 以为, 找到, 得到, 由于, 感觉
true: 以为, 找到, 得到, 或者, 明白
old: 找到, 以为, 旧, 由于, 得到
new: 由于, 找到, 得到, 以为, 给
former: 找到, 以为, 由于, 给, 进入
aged: 找到, 以为, 得到, 或者, 给
young: 以为, 找到, 给, 为什么, 由于
poor: 以为, 给, 找到, 由于, 感觉
rich: 以为, 找到, 得到, 给, 感觉
familiar: 以为, 找到, 得到, 给, 或者
famous: 找到, 以为, 得到, 给, 为什么
foreign: 找到, 以为, 得到, 给, 增加
different: 找到, 以为, 由于, 理解, 给
near: 找到, 以为, 由于, 距离, 给
far: 以为, 找到, 或者, 得到, 出现
left: 右, 左, 找到, 以为, 得到
right: 右, 找到, 以为, 得到, 或者
other: 找到, 以为, 给, 得到, 由于
first: 找到, 以为, 得到, 给, 由于
second: 找到, 以为, 第二, 得到, 由于
third: 第三, 找到, 以为, 得到, 由于
last: 最后, 找到, 以为, 得到, 由于
alone: 以为, 找到, 或者, 得到, 明白
at once: 以为, 找到, 或者, 给, 得到
together: 以为, 找到, 或者, 得到, 给
suddenly: 以为, 或者, 得到, 找到, 感觉
instantly: 找到, 以为, 得到, 或者, 立刻
later: 以为, 找到, 或者, 给, 得到
now: 以为, 或者, 找到, 得到, 现在
today: 以为, 找到, 得到, 今天, 或者
tomorrow: 以为, 找到, 明白, 或者, 感觉
soon: 以为, 或者, 找到, 得到, 明白
then: 或者, 以为, 给, 得到, 找到
yesterday: 以为, 得到, 或者, 找到, 给
once: 以为, 找到, 或者, 得到, 一次
at that time: 以为, 或者, 找到, 给, 由于
afterwards: 以为, 或者, 找到, 得到, 给
before: 以为, 得到, 给, 由于, 或者
at first: 以为, 由于, 给, 找到, 或者
sometimes: 以为, 或者, 找到, 给, 得到
often: 以为, 找到, 或者, 给, 得到
always: 以为, 找到, 或者, 得到, 给
never: 以为, 或者, 找到, 得到, 明白
